Station Name,Station Address,City,Zip,Phone,Hours,Charger Network,Latitutde,Longitude,Score,Businesses
Macy's #71-553 - Mission Valley - San Diego CA,1702 Camino Del Rio North,San Diego,92108,,MON: 10:00am-9:00pm | TUE: 10:00am-9:00pm | WED: 10:00am-9:00pm | THU: 10:00am-9:00pm | FRI: 10:00am-9:00pm | SAT: 10:00am-9:00pm | SUN: 11:00am-7:00pm,Blink Network,32.770182,-117.148134,0,
Marina Bike Rental,505 North Harbor Drive,Redondo Beach,90277,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,33.846416,-118.394024,0,
Lot B South West Corner Vulcan and E,600 S Vulcan,Encinitas,92024,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,33.0448057,-117.2924134,0,
Colton City Hall,650 N La Cadena,Colton,92324,,24 hours daily,,34.0717337,-117.3227394,0,
Golden Gate Ferry Terminal,101 E Sir Francis Drake Blvd,Larkspur,94939,,24 hours daily; pay lot,,37.94495,-122.5096,0,
COUNTY OF SB,2115 Centerpointe Pkwy,Santa Maria,93455,,24 hours daily,ChargePoint Network,34.9226032,-120.4299882,0,
Anaheim City Hall,200 South Anaheim Blvd,Anaheim,92805,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,33.834743,-117.912344,0,
IMPARK SF,152 Terry A Francois Blvd,SF,94158,,24 hours daily,ChargePoint Network,37.7761921,-122.3893361,0,
North Bay Nissan,1250 Auto Center Drive,Petaluma,94952,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,38.267202,-122.665068,0,
350GREEN,1570 W Campbell Ave,Campbell,95008,,24 hours daily,ChargePoint Network,37.2852244,-121.9777086,0,
City of Downey,11111 Brookshire Ave,Downey,90241,,24 hours daily,,33.940941,-118.1293,0,
John T Lyle Center for Regenerative Studies,4105 University Dr,Pomona,91768,,24 hours daily,,34.421597,-117.825,0,
COVINA EV,559 N Citrus Ave,Covina,91723,,24 hours daily,ChargePoint Network,34.091722,-117.891656,0,
Folsom Historic District Parking Structure,905 Leidesdorff St,Folsom,95630,,24 hours daily; 6 hour time limit,,38.6768624,-121.1799294,0,
CITY HALL,450 San Rafael Ave,Tiburon,94920,,24 hours daily,ChargePoint Network,37.8741958,-122.4655347,0,
ESSEX,6540 Friars Rd,San Diego,92108,,24 hours daily,ChargePoint Network,32.7679405,-117.176178,0,
Applied Materials - Arques Campus Parking Garage,974 East Arques Ave.,Sunnyvale,94085,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,37.378927,-122.005504,0,
OMP Sanders Rubbercraft,3701 Conant St,Long Beach,90808,,24 hours daily,,33.8234522,-118.1488717,0,
LARKSPUR,250 Doherty Dr,Larkspur,94939,,24 hours daily,ChargePoint Network,37.9385128,-122.5300763,0,
City of Thousand Oaks - Thousand Oaks Transportation,"265 S Rancho Rd, Public Works Department",Thousand Oaks,91320,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,34.175022,-118.861008,0,
Home Depot,2745 Teller Rd,Newbury Park,91320,,24 hours daily,,34.192692,-118.934553,0,
Leo Carillo State Beach,35000 Pacific Coast Hwy,Malibu,90265,,8am-10pm daily,,34.044081,-118.9346677,0,
4th and G Plaza Public Parking Garage,4th St & G St,Davis,95616,,24 hours daily,,38.54643,-121.7388,0,
SDIA,2729-2921 N Harbor Dr,San Diego,92101,,24 hours daily,ChargePoint Network,32.7290404,-117.1867461,0,
Oakland Airport - Economy Lot,1 Airport Way,Oakland,94621,,24 hours daily; pay lot,,37.7294959,-122.2001954,0,
UC DAVIS TAPS,Primate Drive,Davis,95616,,24 hours daily,ChargePoint Network,38.53862,-121.8052902,0,
Aladdin Airport Parking,2548 Kettner Blvd.,San Diego,92101,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,32.7307,-117.1722,0,
Roseville Buick GMC Cadillac,400 Automall Dr,Roseville,95661,,Dealership business hours; customer use only,,38.7506698,-121.2539146,0,
Galleria at Tyler,1299 Galleria at Tyler,Riverside,92503,,24 hours daily,,33.91115,-117.4591,0,
USC University Park Campus - PSA Level 1,941 W. 35th St.,Los Angeles,90007,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,34.021103,-118.289839,0,
BROWN AUTO GRP,17320 E Gale Ave,City of Industry,91748,,24 hours daily,ChargePoint Network,33.997695,-117.928079,0,
Redding School of the Arts,955 Inspiration Way,Redding,96003,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,40.595497,-122.323081,0,
Solano County Government Center Parking Structure,501 Union Ave,Fairfield,94533,,24 hours daily,,38.2470715,-122.0405343,0,
CITYOFRIVERSIDE,3634 Market,Riverside,92501,,24 hours daily,ChargePoint Network,33.9839761,-117.3749316,0,
Honda of Santa Maria,2175 S Bradlet Rd,Santa Maria,93455,,24 hours daily,,34.921309,-120.422939,0,
Stanford University,360 Oak Rd,Stanford,94305,,24 hours daily; permit required 6am-4pm M-F,,37.43201447,-122.1823654,0,
LBA REALTY,3323 Michelson Dr,Irvine,92612,,24 hours daily,ChargePoint Network,33.671017,-117.841829,0,
BMW SANTA MARIA,Auto Plaza Dr,Santa Maria,93455,,24 hours daily,ChargePoint Network,34.922069,-120.4240429,0,
Ventura Harbor,1691 Spinnaker Dr.,Ventura,93001,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,34.24426,-119.265499,0,
Thunderstruck Motors,3200 Dutton Ave,Santa Rosa,95407,,9am-5pm M-F,,38.398705,-122.722125,0,
PROMETHEUS,455 W Evelyn Ave,Mountain View,94041,,24 hours daily,ChargePoint Network,37.3927766,-122.0748819,0,
SAN MATEO CNTY,30 Tower Rd,San Mateo,94402,,24 hours daily,ChargePoint Network,37.5113789,-122.3329901,0,
"AAA - Auto Club of Southern California, Costa Mesa Branch",3350 Harbor Blvd,Costa Mesa,92626,,9am-5pm M-F,,33.69276,-117.9183,0,
CHARGEPOINT,1692 Dell Ave,Campbell,95008,,24 hours daily,ChargePoint Network,37.2616172,-121.9571723,0,
185 John Muir Health,185 La Casa Via,Walnut Creek,94598,,MO: 24 hours; TU: 24 hours; WE: 24 hours; TH: 24 hours; FR: 24 hours; SA: 24 hours; SU: 24 hours,SemaCharge Network,37.9117887,-122.0412679,0,
Los Angeles County - Health Services,5555 Ferguson Dr,Commerce,90022,,"24 hours daily; keypad activated, instructions on EVSE",,34.010577,-118.152745,0,
CITYOF CAMPBELL,1 W Campbell Ave,Campbell,95008,,24 hours daily,ChargePoint Network,37.2881354,-121.9514006,0,
UC DAVIS TAPS,1333 Research Park Dr,Davis,95618,,24 hours daily,ChargePoint Network,38.5387878,-121.7329102,0,
CITYOFRIVERSIDE,8095 Lincoln Ave,Riverside,92504,,24 hours daily,ChargePoint Network,33.92381,-117.4104494,0,
City of Chula Vista - Montevalle Park & Recreation Center,840 Duncan Ranch Road,Chula Vista,91914,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,32.658512,-116.951956,0,
CITY MOORPARK,799 Moorpark Ave,Moorpark,93021,,24 hours daily,ChargePoint Network,34.2871388,-118.8828501,0,
STANFORD,3160 Porter Dr,Palo Alto,94304,,24 hours daily,ChargePoint Network,37.4069672,-122.1518555,0,
Public Works Headquarters,900 S Fremont Ave,Alhambra ,91803,,"6am-6pm M-F; keypad activated, instructions on EVSE",,34.0850004,-118.1501315,0,
Amador Transit,115 Valley View Way,Sutter Creek,95685,,24 hours daily; pay lot,,38.379983,-120.807672,0,
City of Palm Springs - Coachella Valley Economic Partnership,3111 E Tahquitz,Palm Springs,92264,,24 hours daily,,33.8230959,-116.5119613,0,
CAISO,250 Outcropping Way,Folsom,95630,,24 hours daily,ChargePoint Network,38.6435345,-121.1484639,0,
Chateau Montelena Winery,1429 Tubbs Lane,Calistoga,94515,,MON: 8:00am-4:30pm | TUE: 8:00am-4:30pm | WED: 8:00am-4:30pm | THU: 8:00am-4:30pm | FRI: 8:00am-4:30pm | SAT: 8:00am-4:30pm | SUN: 8:00am-4:30pm,Blink Network,38.602803,-122.598394,0,
City of Azusa - San Gabriel & W. 6th,San Gabriel & W. 6th,Azusa,91702,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,34.131652,-117.90881,0,
350GREEN,495 E Holt Ave,Pomona,91767,,24 hours daily,ChargePoint Network,34.0626916,-117.742433,0,
CITYOFRIVERSIDE,3780 Market St,Riverside,92501,,24 hours daily,ChargePoint Network,33.9827232,-117.3753357,0,
Yolo-Solano Air Quality Management District,1947 Galileo Ct,Davis,95618,,24 hours daily,,38.54246,-121.7279,0,
CHARGEPOINT,1684 Dell Ave,Campbell,95008,,24 hours daily,ChargePoint Network,37.2614558,-121.9577125,0,
San Juan Bautista,50 Muckelemi St,San Juan Bautista,95045,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,36.844726,-121.5395,0,
BMW FACILITIES,1101 Runway Dr,Stockton,95206,,24 hours daily,ChargePoint Network,37.8960208,-121.2680144,0,
BLUE RIBBON SSF,451 E Jamie Ct,South San Francisco,94080,,24 hours daily,ChargePoint Network,37.6491623,-122.3843994,0,
NAVY EXCHANGE,3301 Ward Rd,National City,92135,,24 hours daily,ChargePoint Network,32.678587,-117.1206116,0,
OAK INT AIRPORT,Alan Shepard Way between Airport Dr and John Glenn Dr,Oakland,94621,,24 hours daily,ChargePoint Network,37.7149299,-122.2135514,0,
PARKMERCED,125 Cambon Dr,San Francisco,94132,,24 hours daily,ChargePoint Network,37.7165375,-122.473877,0,
SARATOGA CITY,13650 Saratoga Ave,Saratoga,95070,,24 hours daily,ChargePoint Network,37.2701149,-122.0158539,0,
CITY HALL,13831 San Pablo Avenue,San Pablo,94806,,24 hours daily,ChargePoint Network,37.9586052,-122.3411614,0,
KOHL'S,23001 Savi Ranch Pkwy,Yorba Linda,92887,,24 hours daily,ChargePoint Network,33.8745728,-117.7351303,0,
CCSF - SFO,575 N McDonnell Rd,SF,94128,,24 hours daily,ChargePoint Network,37.6154419,-122.3931105,0,
South Coast Air Quality Management District,21865 E Copley Dr,Diamond Bar,91765,,24 hours daily,,34.002107,-117.8290451,0,
City of Santa Monica - Virginia Avenue Park,2200 Virginia Ave,Santa Monica,90404,,6am-11pm daily,,34.0220292,-118.4687695,0,
Paso Robles RV Ranch & Campground,398 Exline Rd,Paso Robles,93446,,8:30am-5pm daily; pay lot,,35.682304,-120.702174,0,
East Bay Mini,4340 Rosewood Dr,Pleasanton,94588,,Dealership business hours,,37.7000263,-121.8760726,0,
CITY OF BENICIA,250 E L St,Benicia,94510,,24 hours daily,ChargePoint Network,38.052237,-122.1539772,0,
City of Redwood City - Downtown Cinema Garage,855 Jefferson Ave,Redwood City,94063,,6am-11pm daily; pay lot,ChargePoint Network,37.485505,-122.227647,0,
CBRE-Britannia Oyster Point,1110 Veterans Parking Garage,South San Francisco,94080,,MON: 5:00am-8:00pm | TUE: 5:00am-8:00pm | WED: 5:00am-8:00pm | THU: 5:00am-8:00pm | FRI: 5:00am-8:00pm | SAT: 6:00am-6:00pm | SUN: 6:00am-6:00pm,Blink Network,37.664328,-122.390915,0,
City of Rialto - Metrolink,261 S Palm Ave,Rialto,92376,,24 hours daily,,34.09774,-117.372,0,
NISSAN-CARSON,1505 E 223rd St,Carson,90745,,24 hours daily,ChargePoint Network,33.8249799,-118.245666,0,
JOHN MUIR HLTH,1601 Ygnacio Valley Road,Walnut Creek,94598,,24 hours daily,ChargePoint Network,37.9131683,-122.0411019,0,
Alameda County Electrical Joint Apprenticeship Training Committee,14600 Catalina St,San Leandro,94577,,24 hours daily,,37.6929354,-122.1708173,0,
POMONA COLLEGE,295 E 1st St,Claremont,91711,,24 hours daily,ChargePoint Network,34.0946555,-117.7114406,0,
Hall of Administration,140 N Grand Ave,Los Angeles ,90012,,"Garage business hours; pay lot; keypad activated, instructions on EVSE",,34.0565004,-118.2481775,0,
ENC,1601 E Sixteenth St,Newport Beach,92663,,24 hours daily,ChargePoint Network,33.6231003,-117.9081039,0,
ASILOMAR,800 Asilomar Ave,Pacific Grove,93950,,24 hours daily,ChargePoint Network,36.6189641,-121.9377473,0,
MAINTENANCE-1,8300 Demetre Ave,Sacramento,95828,,24 hours daily,ChargePoint Network,38.520132,-121.3962257,0,
VWGOA,201 Del Norte Blvd,Oxnard,93030,,24 hours daily,ChargePoint Network,34.2026117,-119.1274005,0,
Vacaville Cultural Center,1000 Ulatis Dr,Vacaville,95687,,24 hours daily,,38.356027,-121.9628,0,
JOHN HOPKINS,3545 John Hopkins Ct,San Diego,92121,,24 hours daily,ChargePoint Network,32.8916977,-117.2377053,0,
350GREEN,2976 Sepulveda Blvd,Torrance,90505,,24 hours daily,ChargePoint Network,33.823761,-118.3395462,0,
Del Lago Park and Ride,Del Lago Blvd,Escondido,92029,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,33.072863,-117.070856,0,
IRVINE CO OFC,630 Newport Center Dr,Newport Beach,92660,,24 hours daily,ChargePoint Network,33.6193908,-117.8735408,0,
CHARGEPOINT,1686 Dell Ave,Campbell,95008,,24 hours daily,ChargePoint Network,37.2611942,-121.9577924,0,
PARKMERCED,405 Serrano Dr,San Francisco,94132,,24 hours daily,ChargePoint Network,37.7189598,-122.4819717,0,
CITY OF ORANGE,300 E Chapman Ave,Orange,92866,,24 hours daily,ChargePoint Network,33.7871653,-117.8502993,0,
GOLDCOAST,170 Technology Cir,Scotts Valley,95066,,24 hours daily,ChargePoint Network,37.0585136,-122.0074234,0,
350GREEN,26531 Aliso Creek Rd,Aliso Viejo,92656,,24 hours daily,ChargePoint Network,33.5772095,-117.7237396,0,
IWRH,76-661 CA-111,Indian Wells,92210,,24 hours daily,ChargePoint Network,33.7210171,-116.327791,0,
DGS MAIN,1500 10th St,Sacramento,95814,,24 hours daily,ChargePoint Network,38.5748051,-121.4958754,0,
GOOGLE,2017 Stierlin Ct,Mountain View,94043,,24 hours daily,ChargePoint Network,37.4226744,-122.0749656,0,
WHOLE FOODS MKT,390 Coddingtown Mall,Santa Rosa,95401,,24 hours daily,ChargePoint Network,38.458116,-122.7316418,0,
Project Green Home,314 Stanford Ave,Palo Alto,94306,,24 hours daily,,37.429965,-122.147828,0,
101 LOMBARD ST,101 Lombard St,San Francisco,94111,,24 hours daily,ChargePoint Network,37.8035621,-122.4042678,0,
DISTRICT OFFICE,5801 Conifer St,Oak Park,91377,,24 hours daily,ChargePoint Network,34.1715374,-118.7671286,0,
STANFORD,360 Oak Rd,Stanford,94305,,24 hours daily,ChargePoint Network,37.4319313,-122.1823699,0,
RCEA EV NETWORK,718 3rd St,Eureka,95501,,24 hours daily,ChargePoint Network,40.8037929,-124.1638778,0,
ESSEX,600 Epic Way,San Jose,95134,,24 hours daily,ChargePoint Network,37.3989459,-121.9204073,0,
XP POWER,1241 Dyer Rd,Santa Ana,92705,,24 hours daily,ChargePoint Network,33.7108908,-117.8553012,0,
BMW ROSEVILLE,230 Automall Dr,Roseville,95661,,24 hours daily,ChargePoint Network,38.7513081,-121.2556564,0,
AVFA,2551 W Avenue H,Lancaster,93536,,24 hours daily,ChargePoint Network,34.7196232,-118.1769049,0,
ORACLE- RWSHORE,200 Oracle Pkwy,Redwood City,94065,,24 hours daily,ChargePoint Network,37.5307366,-122.2655566,0,
AUXSERVICES,University Dr,La Mirada,90638,,24 hours daily,ChargePoint Network,33.9082281,-118.0127395,0,
Torrance Memorial Medical Center,3330 Lomita Blvd,Torrance,90505,,24 hours daily,,33.8110984,-118.3432401,0,
CBRE- Informatica,100-200 Cardinal Way,Redwood City,94063,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,37.503938,-122.219532,0,
City of Lodi - Finance Department,310 W Elm St,Lodi,95240,,24 hours daily,,38.135187,-121.276781,0,
SKLZ Faraday,2081 Faraday,Carlsbad,92008,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,33.134216,-117.285789,0,
350GREEN,5020 Madison Ave,Sacramento,95841,,24 hours daily,ChargePoint Network,38.6606598,-121.3484573,0,
Vertex Pharmaceuticals Worldwide,11010 Torreyana Rd,San Diego,92121,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,32.9055656,-117.2381096,0,
CITYOF CAMPBELL,77 Harrison Ave,Campbell,95008,,24 hours daily,ChargePoint Network,37.2888031,-121.9427109,0,
IRVINE CO OFC,11100 Santa Monica Blvd.,Los Angeles,90025,,24 hours daily,ChargePoint Network,34.0464846,-118.4442262,0,
MOSSY BMW,1715 Hacienda Dr,Vista,92081,,24 hours daily,ChargePoint Network,33.189852,-117.2738161,0,
PARKMERCED,810 Gonzalez Dr,San Francisco,94132,,24 hours daily,ChargePoint Network,37.7177391,-122.4820404,0,
LA Bio Medical Research Ins.,"1124 W. Carson St., Bldg N-14",Torrance,90502,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,33.828282,-118.295897,0,
City Of Cerritos,18125 Bloomfield Ave,Cerritos,90703,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,33.866732,-118.06382,0,
Solar Living Institute,13771 S Highway 101,Hopland,95449,,10am-6pm daily,,38.966725,-123.114542,0,
CHARGE ME,703 Oakville Cross Rd,Napa,94558,,24 hours daily,ChargePoint Network,38.44965,-122.373459,0,
SAN JOSE,95 N 3rd St,San Jose,95113,,24 hours daily,ChargePoint Network,37.3380554,-121.8893026,0,
Los Angeles County Sheriff  - Santa Clarita Station,23740 Magic Mountain Pkwy,Santa Clarita,91355,,"24 hours daily; keypad activated, instructions on EVSE",,34.4155084,-118.5510359,0,
CCSE-ERC,"8690 Balboa Ave, Ste 100",San Diego,92123,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,32.82051,-117.140223,0,
BMW PALM SPRING,3737 E Palm Canyon Dr,Palm Springs,92264,,24 hours daily,ChargePoint Network,33.7948828,-116.5045391,0,
ClipperCreek Headquarters,11850 Kemper Rd,Auburn,95603,,24 hours daily,,38.930796,-121.092196,0,
SMUD Customer Service Center - Customer Parking Lot,6301 S St,Sacramento,95817,,24 hours daily,,38.5518426,-121.4291905,0,
Municipal Service Center,1993 Rancho Conejo Blvd,Thousand Oaks,91320,,24 hours daily,,34.20829,-118.941,0,
Best Western Plus,1551 N Peach Ave,Fresno,93727,,24 hours daily; complimentary for hotel guests,,36.7641851,-119.7197001,0,
PARKMERCED,55 Chumasero Dr,San Francisco,94132,,24 hours daily,ChargePoint Network,37.7136536,-122.4731369,0,
Alton Corporate Plaza,1733 Alton Pkwy,Irvine,92606,,24 hours daily,,33.698512,-117.844663,0,
SOUTHWEST CLG,S Denker Ave,Los Angeles,90047,,24 hours daily,ChargePoint Network,33.9293985,-118.303441,0,
Netflix,3948-3998 Freedom Cir,Santa Clara,95054,,24 hours daily,,37.38737934,-121.97278,0,
Fox Cable Network- Bldg. 100,10201 West Pico Blvd,Los Angeles,90035,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,34.051491,-118.411032,0,
DLR,1343 Disneyland Dr,Anaheim,92802,,24 hours daily,ChargePoint Network,33.815317,-117.925256,0,
JOHN MUIR HLTH,2540-2598 East St,Concord,94520,,24 hours daily,ChargePoint Network,37.9841728,-122.0347977,0,
CCSF - SFO,San Francisco International Airport International Parking Garage G,SF,94128,,24 hours daily,ChargePoint Network,37.6154652,-122.3930703,0,
LBA REALTY,3101 Michelson Dr,Irvine,92612,,24 hours daily,ChargePoint Network,33.673551,-117.844247,0,
SANTA CRUZ CNTY,1080 Emeline Ave,Santa Cruz,95060,,24 hours daily,ChargePoint Network,36.9935857,-122.0183873,0,
El Camino Hospital,North Dr,Mountain View,94040,,24 hours daily,,37.37052437,-122.0825769,0,
4700 BOHANNON,4700 Bannon Drive,Menlo Park,94025,,24 hours daily,ChargePoint Network,37.4818589,-122.1790306,0,
PCL-1201PINE459,1201 Pine St,Oakland,94607,,24 hours daily,ChargePoint Network,37.8125745,-122.3005076,0,
UC Davis Parking Garage,6 Howard Way,Davis,95616,,24 hours daily; pay lot; permit required 7am-10pm M-F,,38.544345,-121.75026,0,
UC SANTABARBARA,22 Parking Structure,Santa Barbara,93117,,24 hours daily,ChargePoint Network,34.4136018,-119.8526145,0,
HMC STATION 1,283-299 W Huntington Dr,Arcadia,91007,,24 hours daily,ChargePoint Network,34.1371315,-118.0416179,0,
350GREEN,4051 Douglas Blvd,Granite Bay,95661,,24 hours daily,ChargePoint Network,38.7440948,-121.2244263,0,
COURTYARD EXPO,1782 Tribute Rd,Sacramento,95815,,24 hours daily,ChargePoint Network,38.5970154,-121.4472122,0,
Yosemite National Park,9002 Village Dr,Yosemite Valley,95389,,24 hours daily,,37.7451659,-119.5835388,0,
UCSF CAMPUS,1625 Owens St,San Francisco,94158,,24 hours daily,ChargePoint Network,37.768631,-122.3949738,0,
COAST BMW,12100 Los Osos Valley Rd,San Luis Obispo,93405,,24 hours daily,ChargePoint Network,35.2504365,-120.685079,0,
CLAREMONT VOLKS,508-530 Auto Center Dr,Claremont,91711,,24 hours daily,ChargePoint Network,34.08015,-117.72435,0,
MARTINEZ CA,525 Henrietta St,Martinez,94553,,24 hours daily,ChargePoint Network,38.0138817,-122.1348572,0,
Target Shopping Center,12076 Los Osos Valley Rd,San Luis Obispo,93401,,Store business hours,,35.252287,-120.6862,0,
RIDGE VINEYARDS,650 Lytton Springs Rd,Healdsburg,95448,,24 hours daily,ChargePoint Network,38.6593253,-122.8857755,0,
6300 STATION 1,6300 Romaine St,Los Angeles,90038,,24 hours daily,ChargePoint Network,34.088295,-118.329313,0,
COUNTY SONOMA,1351 Maple Avenue,Santa Rosa,95404,,24 hours daily,ChargePoint Network,38.43443,-122.700872,0,
City of Palm Springs - Accelerator Park,2901 E Alejo,Palm Springs,92264,,24 hours daily,,33.8303945,-116.5155206,0,
HP PALO ALTO,3000 Hanover St,Palo Alto,94304,,24 hours daily,ChargePoint Network,37.4147446,-122.1463464,0,
Stanford Inn by the Sea,44850 Comptche Ukiah Rd,Mendocino,95460,,9:30am-10pm daily,,39.299734,-123.79072,0,
BMW ONTARIO,1301 Auto Center Dr,Ontario,91761,,24 hours daily,ChargePoint Network,34.0495347,-117.5444112,0,
350GREEN,2595 E Bidwell St,Folsom,95630,,24 hours daily,ChargePoint Network,38.6584854,-121.1292953,0,
San Diego State University - Parking Structure 8,5500 Campanile,San Diego,92182,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,32.778123,-117.07405,0,
Siemens Ultra,685 E Middlefield Rd,Mountain View,94043,,24 hours daily,,37.39120483,-122.0531,0,
Santa Clara City Library L2,2635 Homestead Drive,Santa Clara,95051,,MON: 7:30am-8:00pm | TUE: 7:30am-8:00pm | WED: 7:30am-6:00pm | THU: 7:30am-6:00pm | FRI: 7:30am-6:00pm | SAT: 7:30am-5:00pm | SUN: 11:30am-5:00pm,Blink Network,37.341008,-121.973337,0,
350GREEN,7878 Crescent Ave,Buena Park,90620,,24 hours daily,ChargePoint Network,33.8390694,-117.9959946,0,
CITY CNTER WEST,1250 Martin Luther King Jr Way,Oakland,94612,,24 hours daily,ChargePoint Network,37.8051446,-122.2761896,0,
CITY OF EUREKA,4 C Street,Eureka,95501,,24 hours daily,ChargePoint Network,40.8054962,-124.1701202,0,
Santa Clara Valley Water District,5750 Almaden Expy,San Jose,95118,,24 hours daily,,37.24761,-121.8745,0,
Los Angeles County Sheriff - Century Station,11705 S Alameda ,Lynwood,90059,,"Garage business hours; pay lot; keypad activated, instructions on EVSE",,33.9282088,-118.2269043,0,
HARTNELLCOLLEGE,1752 E Alisal St,Salinas,93905,,24 hours daily,ChargePoint Network,36.6713333,-121.604187,0,
CASA GRANDE HS,333 Casa Grande Rd,Petaluma,94954,,24 hours daily,ChargePoint Network,38.2422076,-122.5979262,0,
BMWOFESCONDIDO,1557 Auto Park Way,Escondido,92029,,24 hours daily,ChargePoint Network,33.1162792,-117.1095325,0,
BRISBANE MARINA,400 Sierra Point Pkwy,Brisbane,94005,,24 hours daily,ChargePoint Network,37.6733629,-122.3816357,0,
Kaiser Permanente - LA Med Ctr.,4867 Sunset Blvd,Los Angeles,90017,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,34.098146,-118.295405,0,
945 W 8TH ST AD,945 W. 8th Street,Los Angeles,90017,,24 hours daily,ChargePoint Network,34.0490432,-118.262986,0,
12670_80 EV CHG,12670 High Bluff Dr,San Diego,92130,,24 hours daily,ChargePoint Network,32.948898,-117.2418728,0,
Janss Road Park & Ride,1400 E Janss Rd,Thousand Oaks,91362,,24 hours daily,,34.1993095,-118.8535559,0,
PARKMERCED,50 Chumasero Dr,San Francisco,94132,,24 hours daily,ChargePoint Network,37.7143326,-122.4732971,0,
EV CHARGERS,23625 Holman Highway,Monterey,93940,,24 hours daily,ChargePoint Network,36.5793574,-121.9142074,0,
City of Palm Desert - City Hall,73510 Fred Waring Dr,Palm Desert,92260,,24 hours daily,,33.7300165,-116.38166,0,
UCLA - Parking Structure 4,221 Westwood Plaza,Los Angeles,90077,,"7am-5pm M-Th, 7am-12pm F, 8am-1pm Sat; Permit required for use",,34.0726079,-118.444831,0,
IKEA - Carson,20700 S. Avalon Blvd,Carson,90746,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,33.841533,-118.259723,0,
University of California - Davis - Medical Center,4860 Y St,Sacramento,95817,,24 hours daily,,38.552483,-121.4487,0,
CITY OF VENTURA,353 Sanjon Rd,Ventura,93001,,24 hours daily,ChargePoint Network,34.2754555,-119.2817535,0,
Saluti Cellars Winery,7505 Grizzly Flat Rd,Somerset,95684,,11:30am-5:30pm Fri-Sun; call for appointment or after hours use,,38.633369,-120.62423,0,
JLLAMERICASINC,200 W Evelyn Ave,Sunnyvale,94086,,24 hours daily,ChargePoint Network,37.377762,-122.031348,0,
